X,Y,Z,BHID,LENGTH,A0,B0,C0,FROM,TO,Zn,Ag,Pb,RADIUS
1771.860383,4917.919388,2251.77,DDH-197,0.87,340,0,0,39.62,40.49,11.88,3.351024,0.256,1
1758.576763,4911.397802,2251.77,DDH-198,1.07,320,0,0,40.23,41.3,11.31853333,7.627992,5.128,1
1544.588124,4748.201732,2252.58,DDH-199,1.3,310,0,0,25.8,27.1,0.006,0.004,0.0016,1
1543.64972,4748.989147,2252.58,DDH-199,1.15,310,0,0,27.1,28.25,0.006,0.004,0.0016,1
1543.075187,4749.471238,2252.58,DDH-199,0.35,310,0,0,28.25,28.6,0.006,0.004,0.0016,1
1542.596409,4749.87298,2252.58,DDH-199,0.9,310,0,0,28.6,29.5,0.006,0.004,0.0016,1
1542.021876,4750.355071,2252.58,DDH-199,0.6,310,0,0,29.5,30.1,0.006,0.004,0.0016,1
1541.504796,4750.788952,2252.58,DDH-199,0.75,310,0,0,30.1,30.85,0.006,0.004,0.0016,1
1540.930262,4751.271043,2252.58,DDH-199,0.75,310,0,0,30.85,31.6,0.006,0.004,0.0016,1
1540.355729,4751.753134,2252.58,DDH-199,0.75,310,0,0,31.6,32.35,0.006,0.004,0.0016,1
1539.781196,4752.235225,2252.58,DDH-199,0.75,310,0,0,32.35,33.1,0.006,0.004,0.0016,1
1539.206662,4752.717315,2252.58,DDH-199,0.75,310,0,0,33.1,33.85,0.006,0.004,0.0016,1
1538.632129,4753.199406,2252.58,DDH-199,0.75,310,0,0,33.85,34.6,0.006,0.004,0.0016,1
1519.544325,4726.114532,2252.84,DDH-200,5,325,0,0,18.1,23.1,8.76,2.116436,0.956,1
